Serial Number,Project Name,Category/Company,Amount/Value,PDF Link,PDF Filename
777,Plastic Egg Tray,Samadhan Projects,1741000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PlasticEggTray.pdf,PlasticEggTray.pdf
778,Plastic Injection molding,Samadhan Projects,2294000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PlasticInjectionmolding.pdf,PlasticInjectionmolding.pdf
779,Plastic Jerry Cans,Samadhan Projects,3222000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PlasticJerryCans.pdf,PlasticJerryCans.pdf
780,Plastic Price Tag,Samadhan Projects,2041000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PlasticPriceTag.pdf,PlasticPriceTag.pdf
781,Plastic Raincoats,Samadhan Projects,1595000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PlasticRaincoats.pdf,PlasticRaincoats.pdf
782,Plastic Spoons,Samadhan Projects,2044000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PlasticSpoons.pdf,PlasticSpoons.pdf
783,Plastic Toothpick,Samadhan Projects,2436000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PlasticToothpick.pdf,PlasticToothpick.pdf
784,Plastic Waste Recycling,Samadhan Projects,2960000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PlasticWasteRecycling.pdf,PlasticWasteRecycling.pdf
785,Plastic moulded toys,Samadhan Projects,2483000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Plasticmouldedtoys.pdf,Plasticmouldedtoys.pdf
786,Pocket Perfume,Samadhan Projects,2477000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PocketPerfume.pdf,PocketPerfume.pdf
787,Popcorn,Samadhan Projects,2456000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Popcorn.pdf,Popcorn.pdf
788,Portable rooftop Farming,Samadhan Projects,1000000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PortablerooftopFarming.pdf,PortablerooftopFarming.pdf
789,Potato Chips,Samadhan Projects,1369000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PotatoChips.pdf,PotatoChips.pdf
790,Pottery products,Samadhan Projects,250000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Potteryproducts.pdf,Potteryproducts.pdf
791,Powder coating,Samadhan Projects,1486000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Powdercoating.pdf,Powdercoating.pdf
792,Pressed Components,Samadhan Projects,2032000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PressedComponents.pdf,PressedComponents.pdf
793,Printer Ink,Samadhan Projects,1756000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PrinterInk.pdf,PrinterInk.pdf
794,Puffed Rice,Samadhan Projects,914000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PuffedRice.pdf,PuffedRice.pdf
795,Putty,Samadhan Projects,2258000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Putty.pdf,Putty.pdf
796,QUICK LIME,MINERAL BASED INDUSTRY,292000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON QUICK LIME.pdf,PROJECT PROFILE ON QUICK LIME.pdf
797,R.C.C,MINERAL BASED INDUSTRY,1809000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON R.C.C.pdf,PROJECT PROFILE ON R.C.C.pdf
798,RCC SPUN PIPE,MINERAL BASED INDUSTRY,1796000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON RCC SPUN PIPE.pdf,PROJECT PROFILE ON RCC SPUN PIPE.pdf
799,RCC Spun Pipe,Samadhan Projects,7555000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/RCCSpunPipe.pdf,RCCSpunPipe.pdf
800,RECHARGEABLE TORCH,RURAL ENGG. AND BIO-TECH INDUSTRY,1183000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON RECHARGEABLE TORCH.pdf,PROJECT PROFILE ON RECHARGEABLE TORCH.pdf
801,REGULATED D.C. POWER SUPPLIES,RURAL ENGG. AND BIO-TECH INDUSTRY,420000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON REGULATED D.C.pdf,PROJECT PROFILE ON REGULATED D.C.pdf
802,REPAIRS & MAINTENANCE OF CONSUMER ELECTRONIC PRODUCTS,SERVICE AND TEXTILE INDUSTRY,300000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT  PROFILE  ON  REPAIRS &  MAINTENANCE  OF CONSUMER  ELECTRONIC PRODUCTS.pdf,PROJECT  PROFILE  ON  REPAIRS &  MAINTENANCE  OF CONSUMER  ELECTRONIC PRODUCTS.pdf
803,REPAIRS OF DIESEL ENGINES & PUMP SETS,SERVICE AND TEXTILE INDUSTRY,94500,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/REPAIRS OF DIESEL ENGINES & PUMP SETS.pdf,REPAIRS OF DIESEL ENGINES & PUMP SETS.pdf
804,ROLLING SHUTTERS,RURAL ENGG. AND BIO-TECH INDUSTRY,1693000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON ROLLING SHUTTERS.pdf,PROJECT PROFILE ON ROLLING SHUTTERS.pdf
805,ROOM COOLERS,RURAL ENGG. AND BIO-TECH INDUSTRY,470000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON ROOM COOLERS.pdf,PROJECT PROFILE ON ROOM COOLERS.pdf
806,RUBBER STAMPS,POLYMER AND CHEMICAL BASED INDUSTRY,162000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON RUBBER STAMPS.pdf,PROJECT PROFILE ON RUBBER STAMPS.pdf
807,Rabri Final,Samadhan Projects,1794000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/RabriFinal.pdf,RabriFinal.pdf
808,Raisin(Kishmish),Samadhan Projects,2500000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/RaisinKishmish.pdf,RaisinKishmish.pdf
809,Razor,Samadhan Projects,2264000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Razor.pdf,Razor.pdf
810,Re Refining of Used Lubricant,Samadhan Projects,2500000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ReRefiningofUsedLubricant.pdf,ReRefiningofUsedLubricant.pdf
811,Ready mix Concrete,Samadhan Projects,2156000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ReadymixConcrete.pdf,ReadymixConcrete.pdf
812,Ready to eat noodles,Samadhan Projects,2366000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Readytoeatnoodles.pdf,Readytoeatnoodles.pdf
813,Readymade Garments_DPR,Samadhan Projects,1117000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ReadymadeGarmentsDPR.pdf,ReadymadeGarmentsDPR.pdf
814,Red Chilli Powder Unit,Samadhan Projects,1388000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/RedChilliPowderUnit.pdf,RedChilliPowderUnit.pdf
815,Red Iron Oxide,Samadhan Projects,2150000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/RedIronOxide.pdf,RedIronOxide.pdf
816,Refrigerator & AC Repairing,Samadhan Projects,452825,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/RefrigeratorACRepairing.pdf,RefrigeratorACRepairing.pdf
817,Rice Flakes(Poha),Samadhan Projects,1568000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/RiceFlakesPoha.pdf,RiceFlakesPoha.pdf
818,Roasted Flavoured Peanuts,Samadhan Projects,2500000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/RoastedFlavouredPeanuts.pdf,RoastedFlavouredPeanuts.pdf
819,Rolling Shutters,Samadhan Projects,1165000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/RollingShutters.pdf,RollingShutters.pdf
820,Rose Cultivation,Samadhan Projects,4919000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/RoseCultivation.pdf,RoseCultivation.pdf
821,Rose Water,Samadhan Projects,1904000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/RoseWater.pdf,RoseWater.pdf
822,Rubber Balloons,Samadhan Projects,1644000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/RubberBalloons.pdf,RubberBalloons.pdf
823,Rubber Band,Samadhan Projects,2200000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/RubberBand.pdf,RubberBand.pdf
824,Rubber Band,Samadhan Projects,1433000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/RubberBand.pdf,RubberBand.pdf
825,Rubber Latex Foam,Samadhan Projects,3167000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/RubberLatexFoam.pdf,RubberLatexFoam.pdf
826,Rubber Moulding Coir Matting,Samadhan Projects,2500000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/RubberMouldingCoirMatting.pdf,RubberMouldingCoirMatting.pdf
827,Rubber Rice Polisher,Samadhan Projects,2722000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/RubberRicePolisher.pdf,RubberRicePolisher.pdf
828,Rusk making,Samadhan Projects,4000000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Ruskmaking.pdf,Ruskmaking.pdf
829,SAREE ROLLING AND POLISHING,SERVICE AND TEXTILE INDUSTRY,95000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT  PROFILE  ON SAREE ROLLING AND POLISHING.pdf,PROJECT  PROFILE  ON SAREE ROLLING AND POLISHING.pdf
830,SATTU MANUFACTURING,AGRO BASED FOOD PROCESSING INDUSTRY,865000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON SATTU MANUFACTURING.pdf,PROJECT PROFILE ON SATTU MANUFACTURING.pdf
831,SHAVING CREAM,POLYMER AND CHEMICAL BASED INDUSTRY,1790000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON SHAVING CREAM.pdf,PROJECT PROFILE ON SHAVING CREAM.pdf
832,SHUTTLE COCK,FOREST BASED INDUSTRY,220000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/SHUTTLE COCK.pdf,SHUTTLE COCK.pdf
833,SKIN TONNING LOTION (SKIN FRESHENERS),POLYMER AND CHEMICAL BASED INDUSTRY,1258000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON SKIN TONNING LOTION (SKIN FRESHENERS).pdf,PROJECT PROFILE ON SKIN TONNING LOTION (SKIN FRESHENERS).pdf
834,SNAP FASTENERS,RURAL ENGG. AND BIO-TECH INDUSTRY,1360000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON SNAP FASTENERS.pdf,PROJECT PROFILE ON SNAP FASTENERS.pdf
835,SOLAR CHARKHA 8 SPINDLE,RURAL ENGG. AND BIO-TECH INDUSTRY,1467304,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/SOLAR CHARKHA NEW_14.pdf,SOLAR CHARKHA NEW_14.pdf
836,"SOLAR CHARKHA SPINNING, WEAVING, PROCESSING & GARMENTS MANUFACTURING UNIT",RURAL ENGG. AND BIO-TECH INDUSTRY,2487694,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/SOLAR CHARKHA NEW_25.pdf,SOLAR CHARKHA NEW_25.pdf
837,SOLAR COOKER,RURAL ENGG. AND BIO-TECH INDUSTRY,550000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON SOLAR COOKER.pdf,PROJECT PROFILE ON SOLAR COOKER.pdf
838,SOLAR WATER HEATER,RURAL ENGG. AND BIO-TECH INDUSTRY,862840,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON SOLAR WATER HEATER.pdf,PROJECT PROFILE ON SOLAR WATER HEATER.pdf
839,SOYA MILK,AGRO BASED FOOD PROCESSING INDUSTRY,757000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT   PROFILE   ON   SOYA   MILK.pdf,PROJECT   PROFILE   ON   SOYA   MILK.pdf
840,SOYA SAUCE,AGRO BASED FOOD PROCESSING INDUSTRY,665000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON SOYA SAUCE.pdf,PROJECT PROFILE ON SOYA SAUCE.pdf
841,STAINLESS STEEL PORTABLE WATER FILTER,RURAL ENGG. AND BIO-TECH INDUSTRY,1044400,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON STAINLESS STEEL PORTABLE WATER FILTER.pdf,PROJECT PROFILE ON STAINLESS STEEL PORTABLE WATER FILTER.pdf
842,STEEL BOOK RACK,RURAL ENGG. AND BIO-TECH INDUSTRY,280000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON STEEL BOOK RACK.pdf,PROJECT PROFILE ON STEEL BOOK RACK.pdf
843,STEEL FURNITURE UNIT,RURAL ENGG. AND BIO-TECH INDUSTRY,1693000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/STEEL FURNITURE UNIT.pdf,STEEL FURNITURE UNIT.pdf
844,STEEL TRUNKS,RURAL ENGG. AND BIO-TECH INDUSTRY,572000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON STEEL TRUNKS.pdf,PROJECT PROFILE ON STEEL TRUNKS.pdf
845,STONE POLISHING UNIT,MINERAL BASED INDUSTRY,165000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON STONE POLISHING UNIT.pdf,PROJECT PROFILE ON STONE POLISHING UNIT.pdf
846,SURGICAL BANDAGE,FOREST BASED INDUSTRY,700000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/SURGICAL BANDAGE-OK-35-R.pdf,SURGICAL BANDAGE-OK-35-R.pdf
847,SURGICAL BANDAGE BIG TYPE,FOREST BASED INDUSTRY,1950000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/SURGICAL BANDAGE BIG SIZE -OK-35-R.pdf,SURGICAL BANDAGE BIG SIZE -OK-35-R.pdf
848,Safety Pin,Samadhan Projects,1023000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/SafetyPin.pdf,SafetyPin.pdf
849,Sandwich Maker Machine_DPR,Samadhan Projects,1764000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/SandwichMakerMachineDPR.pdf,SandwichMakerMachineDPR.pdf
850,Sanitary Napkin,Samadhan Projects,699000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/SanitaryNapkin.pdf,SanitaryNapkin.pdf
851,Saree Dyeing and Printing_DPR,Samadhan Projects,1532000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/SareeDyeingandPrintingDPR.pdf,SareeDyeingandPrintingDPR.pdf
852,Sattu Manufacturing Project,Samadhan Projects,2455000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/SattuManufacturingProject.pdf,SattuManufacturingProject.pdf
853,School Bag,Samadhan Projects,1759000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/SchoolBag.pdf,SchoolBag.pdf
854,Scruber Wire,Samadhan Projects,1231000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ScruberWire.pdf,ScruberWire.pdf
855,Sesame Seeds_DPR,Samadhan Projects,2216000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/SesameSeedsDPR.pdf,SesameSeedsDPR.pdf
856,Shampoo making,Samadhan Projects,345000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Shampoomaking.pdf,Shampoomaking.pdf
857,Shatawari Processing Unit,Samadhan Projects,1740000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ShatawariProcessingUnit.pdf,ShatawariProcessingUnit.pdf
858,Shaving Gel Project,Samadhan Projects,2255000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ShavingGelProject.pdf,ShavingGelProject.pdf
859,Shirt Dyeing_DPR,Samadhan Projects,1532000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ShirtDyeingDPR.pdf,ShirtDyeingDPR.pdf
860,Shoe Brush,Samadhan Projects,2262000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ShoeBrush.pdf,ShoeBrush.pdf
861,Silk Carpet,Samadhan Projects,986000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/SilkCarpet.pdf,SilkCarpet.pdf
862,Silk saree weaving,Samadhan Projects,1200000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Silksareeweaving.pdf,Silksareeweaving.pdf
863,Skin care cream,Samadhan Projects,4289000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Skincarecream.pdf,Skincarecream.pdf
864,Slipper Making,Samadhan Projects,1459000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/SlipperMaking.pdf,SlipperMaking.pdf
865,Small Transformer For Electronics Purpose,Samadhan Projects,968000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/SmallTransformerForElectronicsPurpose.pdf,SmallTransformerForElectronicsPurpose.pdf
866,Smart Energy Meter,Samadhan Projects,2495000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/SmartEnergyMeter.pdf,SmartEnergyMeter.pdf
867,Sodium Hypochlorite,Samadhan Projects,2500000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/SodiumHypochlorite.pdf,SodiumHypochlorite.pdf
868,Sodium sulphate,Samadhan Projects,2400000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Sodiumsulphate.pdf,Sodiumsulphate.pdf
869,Soft Ice Cream,Samadhan Projects,116000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/SoftIceCream.pdf,SoftIceCream.pdf
870,Soft toys Making,Samadhan Projects,976000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/SofttoysMaking.pdf,SofttoysMaking.pdf
871,Soil Cement Blocks,Samadhan Projects,2269000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/SoilCementBlocks.pdf,SoilCementBlocks.pdf
872,Solar Lantern,Samadhan Projects,2500000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/SolarLantern.pdf,SolarLantern.pdf
873,Sound Box & DJ System,Samadhan Projects,1144000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/SoundBoxDJSystem.pdf,SoundBoxDJSystem.pdf
874,Soy Nuggets,Samadhan Projects,2500000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/SoyNuggets.pdf,SoyNuggets.pdf
875,Soya Chunks,Samadhan Projects,2255000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/SoyaChunks.pdf,SoyaChunks.pdf
876,Soya Flour,Samadhan Projects,2300000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/SoyaFlour.pdf,SoyaFlour.pdf
877,Soya Milk,Samadhan Projects,2091000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/SoyaMilk.pdf,SoyaMilk.pdf
878,Soya Paneer,Samadhan Projects,978000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/SoyaPaneer.pdf,SoyaPaneer.pdf
879,Spark Plug,Samadhan Projects,2282000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/SparkPlug.pdf,SparkPlug.pdf
880,Speaker Coil,Samadhan Projects,1053000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/SpeakerCoil.pdf,SpeakerCoil.pdf
881,Spice Grinding Unit,Samadhan Projects,1555000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/SpiceGrindingUnit.pdf,SpiceGrindingUnit.pdf
882,Spirometer_DPR,Samadhan Projects,2400000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/SpirometerDPR.pdf,SpirometerDPR.pdf
883,Sports Footwear,Samadhan Projects,1560000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/SportsFootwear.pdf,SportsFootwear.pdf
884,Stable Bleaching Powder,Samadhan Projects,2556000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/StableBleachingPowder.pdf,StableBleachingPowder.pdf
885,Stainless Steel Cutlery,Samadhan Projects,2079000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/StainlessSteelCutlery.pdf,StainlessSteelCutlery.pdf
886,Stainless Steel Watch Strap Unit,Samadhan Projects,1300000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/StainlessSteelWatchStrapUnit.pdf,StainlessSteelWatchStrapUnit.pdf
887,Staple Pins,Samadhan Projects,1067000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/StaplePins.pdf,StaplePins.pdf
888,Steel Tube_DPR,Samadhan Projects,2301000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/SteelTubeDPR.pdf,SteelTubeDPR.pdf
889,Steel Watch Strap_DPR,Samadhan Projects,886000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/SteelWatchStrapDPR.pdf,SteelWatchStrapDPR.pdf
890,Stone Handicraft Final,Samadhan Projects,1605000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/StoneHandicraftFinal.pdf,StoneHandicraftFinal.pdf
892,Stretchers,Samadhan Projects,1444000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Stretchers.pdf,Stretchers.pdf
893,Sugar Candy,Samadhan Projects,2974000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/SugarCandy.pdf,SugarCandy.pdf
894,Sugar Globules,Samadhan Projects,2200000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/SugarGlobules.pdf,SugarGlobules.pdf
895,Sugarcane Juice Making Plant,Samadhan Projects,2500000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/SugarcaneJuiceMakingPlant.pdf,SugarcaneJuiceMakingPlant.pdf
896,Sulphur powder,Samadhan Projects,2460000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Sulphurpowder.pdf,Sulphurpowder.pdf
897,Surgical Adhesive Plasters,Samadhan Projects,4400000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/SurgicalAdhesivePlasters.pdf,SurgicalAdhesivePlasters.pdf
898,Surgical Adhesive Tape,Samadhan Projects,2150000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/SurgicalAdhesiveTape.pdf,SurgicalAdhesiveTape.pdf
899,Surgical Bandage,Samadhan Projects,1035000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/SurgicalBandage.pdf,SurgicalBandage.pdf
900,Surgical Dresses,Samadhan Projects,2100000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/SurgicalDresses.pdf,SurgicalDresses.pdf
902,Sweet Condensed Milk,Samadhan Projects,2268000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/SweetCondensedMilk.pdf,SweetCondensedMilk.pdf
903,Sweet Dark Chocolate,Samadhan Projects,1342000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/SweetDarkChocolate.pdf,SweetDarkChocolate.pdf
904,Switch Mfg,Samadhan Projects,2120000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/SwitchMfg.pdf,SwitchMfg.pdf
905,TAILORS' CHALK,MINERAL BASED INDUSTRY,161700,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON TAILORS' CHALK.pdf,PROJECT PROFILE ON TAILORS' CHALK.pdf
906,TALCUM POWDER,POLYMER AND CHEMICAL BASED INDUSTRY,1985000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON TALCUM POWDER.pdf,PROJECT PROFILE ON TALCUM POWDER.pdf
907,TENT HOUSE,SERVICE AND TEXTILE INDUSTRY,400000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/TENT HOUSE.pdf,TENT HOUSE.pdf
908,TEXTILE PRINTING,SERVICE AND TEXTILE INDUSTRY,944500,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON TEXTILE PRINTING.pdf,PROJECT PROFILE ON TEXTILE PRINTING.pdf
909,TEXTURISED SOYA PROTEIN,AGRO BASED FOOD PROCESSING INDUSTRY,1931000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/TEXTURISED SOYA PROTEIN.pdf,TEXTURISED SOYA PROTEIN.pdf
910,TOILET SOAP,POLYMER AND CHEMICAL BASED INDUSTRY,2500000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON TOILET SOAP.pdf,PROJECT PROFILE ON TOILET SOAP.pdf
911,TOMATO PRODUCTS,AGRO BASED FOOD PROCESSING INDUSTRY,1096000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON TOMATO PRODUCTS.pdf,PROJECT PROFILE ON TOMATO PRODUCTS.pdf
912,TOMATO PRODUCTS AND PICKLES,AGRO BASED FOOD PROCESSING INDUSTRY,1700000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON TOMATO PRODUCTS AND PICKLES.pdf,PROJECT PROFILE ON TOMATO PRODUCTS AND PICKLES.pdf
913,TRACK SUITS,SERVICE AND TEXTILE INDUSTRY,871000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON TRACK SUITS.pdf,PROJECT PROFILE ON TRACK SUITS.pdf
